side,group,ik_link,frame,x,y,z,orient_idx,orient_label,qx,qy,qz,qw,success,error_code,reason,time_ms,n_success,n_total,point_reachable
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,0,-31,ik_failed,50.7,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,0,-31,ik_failed,50.4,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.000000,-1,SUMMARY,,,,,,,,,0,9,0
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,0,-31,ik_failed,50.4,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,0,-31,ik_failed,50.8,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,0,-31,ik_failed,50.4,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,0,-31,ik_failed,50.6,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,0,-31,ik_failed,50.5,,,
left,left_arm,left_tool0,world,-1.200000,0.000000,0.100000,-1,SUMMARY,,,,,,,,,0,9,0
