time_s,angle_deg
0.00015112699998098833,-428751.0047222222
0.0024210249999896405,-23168.994166666667
0.002861273999997138,-428751.0047222222
0.004204830999924525,-23168.994166666667
0.0046478819999720145,-428751.0047222222
0.0067766319999691405,-23168.994166666667
0.007296443999962321,-428751.0047222222
0.010034722000000329,-23168.994166666667
0.010528879999924357,-428751.0047222222
0.011842501999922206,-23168.994166666667
0.01264460599998074,-428751.0047222222
0.013862933999917004,-23168.994166666667
0.014227741000013339,-428751.0047222222
0.016519742000014048,-23168.994166666667
0.01695604799999728,-428751.0047222222
0.01831167699992875,-23168.994166666667
0.01873176300000523,-428751.0047222222
0.020420531000013398,-23168.994166666667
0.02085243699991679,-428751.0047222222
0.02244017599991821,-23168.994166666667
0.02286879999996927,-428751.0047222222
0.024224039999921843,-23168.994166666667
0.024652985999978227,-428751.0047222222
0.026144608999970842,-23168.994166666667
0.026663387999974475,-428751.0047222222
0.028084088000014162,-23168.994166666667
0.028652410999939093,-428751.0047222222
0.03008541399992737,-23168.994166666667
0.030438912000022356,-428751.0047222222
0.03208826200000203,-23168.994166666667
0.03244637000000239,-428751.0047222222
0.03402187500000764,-23168.994166666667
0.03462736999995286,-428751.0047222222
0.03596172300001399,-23168.994166666667
0.03644580499997119,-428751.0047222222
0.037685187999954906,-23168.994166666667
0.03809539299993503,-428751.0047222222
0.039703413999973236,-23168.994166666667
0.040098123000007035,-428751.0047222222
0.041975261999937175,-23168.994166666667
0.04244761799998287,-428751.0047222222
0.043677179999917826,-23168.994166666667
0.04409549699994386,-428751.0047222222
0.04563209499997356,-23168.994166666667
0.0459971330000144,-428751.0047222222
0.047216314000024795,-23168.994166666667
0.047655322999958116,-428751.0047222222
0.04914434499994513,-23168.994166666667
0.04976599399992665,-428751.0047222222
0.05100353499994981,-23168.994166666667
0.05157522499996503,-428751.0047222222
0.052964458000019476,-23168.994166666667
0.053439299999922696,-428751.0047222222
0.0546610229999942,-23168.994166666667
0.055088766999915606,-428751.0047222222
0.056670793999956004,-23168.994166666667
0.0570931219999693,-428751.0047222222
0.05885655999998107,-23168.994166666667
0.05921865099992374,-428751.0047222222
0.060615740000002916,-23168.994166666667
0.06098486399991998,-428751.0047222222
0.0622162859999662,-23168.994166666667
0.06264551799995388,-428751.0047222222
0.06441150799992101,-23168.994166666667
0.0648312480000186,-428751.0047222222
0.06649551399993925,-23168.994166666667
0.06692380899994532,-428751.0047222222
0.06819356799996967,-23168.994166666667
0.06866105599999628,-428751.0047222222
0.07013306499993632,-23168.994166666667
0.07076406299995597,-428751.0047222222
0.07200940299992453,-23168.994166666667
0.07257714799993664,-428751.0047222222
0.07357459499996821,-23168.994166666667
0.07403358900000967,-428751.0047222222
0.07524251099994217,-23168.994166666667
0.07572173599999132,-428751.0047222222
0.07723732499994185,-23168.994166666667
0.07766945100001976,-428751.0047222222
